"trial","ref_position","var_area","response","correct","rt"
1,"L",10.1434136887547,"L",FALSE,1.31200003623962
2,"L",10.5286617933307,"R",TRUE,1.74600005149841
3,"R",8.150279346155,"R",TRUE,1.51999998092651
4,"R",9.5733184851706,"L",TRUE,1.71700000762939
5,"R",12.1902828933671,"R",FALSE,1.86100006103516
6,"R",10.2927786209621,"L",TRUE,1.82599997520447
7,"L",10.0370598693844,"L",FALSE,1.72699999809265
8,"R",10.8448947654106,"L",TRUE,2.04500007629395
9,"L",10.7496335825417,"L",FALSE,1.81900000572205
10,"R",11.6183663411066,"L",TRUE,2.13499999046326
11,"L",14.1439363355748,"R",TRUE,1.64800000190735
