"trial","ref_position","var_area","response","correct","rt"
1,"L",8.46435800660402,"R",FALSE,7.50399994850159
2,"R",12.3200973384082,"L",TRUE,1.78800010681152
3,"R",14.435181555571,"L",TRUE,2.69199991226196
4,"R",10.5416864510626,"L",TRUE,3.2960000038147
5,"L",9.91096706665121,"R",TRUE,1.7960000038147
6,"L",14.7229179968126,"R",TRUE,1.69299983978271
7,"R",13.8483813432977,"L",TRUE,2.09699988365173
8,"L",9.68697831803001,"L",FALSE,2.08899998664856
9,"L",9.19840597640723,"L",FALSE,4.39900016784668
10,"L",8.00181789021008,"L",TRUE,2.09100008010864
11,"R",11.2277673061471,"L",TRUE,1.89499998092651
12,"L",8.5772110063117,"R",FALSE,2.08800005912781
13,"L",9.45492172683589,"R",TRUE,3.39600014686584
14,"L",13.9805696979165,"R",TRUE,1.79100012779236
15,"L",13.4853236065246,"R",TRUE,1.69400000572205
16,"L",13.8933954248205,"R",TRUE,1.78800010681152
17,"R",11.6000335405115,"L",TRUE,1.99799990653992
18,"R",12.4857498169877,"L",TRUE,1.99799990653992
19,"R",11.5061214251909,"L",TRUE,1.18799996376038
20,"R",13.8476308837999,"L",TRUE,1.48699998855591
