"trial","ref_position","var_area","response","correct","rt"
1,"R",10.8475620318204,"L",TRUE,7.71499991416931
2,"R",10.2352358212229,"R",FALSE,3.65899991989136
3,"R",14.0571162863635,"L",TRUE,1.86300015449524
4,"R",12.2873488252517,"L",TRUE,1.74600005149841
5,"R",14.5104759412352,"L",TRUE,1.53399991989136
6,"R",10.9680065901484,"L",TRUE,1.76200008392334
7,"R",9.9085387783125,"L",TRUE,2.99699997901917
8,"L",8.11367963510565,"R",FALSE,2.21399998664856
9,"L",14.762767619919,"R",TRUE,1.87299990653992
10,"L",11.8237656813581,"R",TRUE,1.53999996185303
11,"L",14.3818895157892,"R",TRUE,1.42700004577637
12,"R",14.5856429878622,"L",TRUE,1.63299989700317
13,"R",9.17872462491505,"L",TRUE,3.0019998550415
14,"L",12.0613149837591,"R",TRUE,1.53499984741211
15,"L",9.31073403568007,"R",TRUE,1.53299999237061
16,"R",12.4377021291293,"L",TRUE,1.30700016021729
17,"R",12.1817474081181,"L",TRUE,1.08700013160706
18,"L",13.4774556688499,"R",TRUE,1.42400002479553
19,"L",14.1554041814525,"R",TRUE,1.18799996376038
20,"R",10.742559594335,"L",TRUE,1.27900004386902
21,"R",10.5546434046701,"L",TRUE,1.64000010490417
22,"L",14.7398961526342,"R",TRUE,1.19599986076355
23,"L",13.5193818516564,"R",TRUE,1.19799995422363
24,"R",12.7680495458189,"L",TRUE,1.52099990844727
25,"L",14.9262126842514,"R",TRUE,2.63800001144409
