"trial","ref_position","var_area","response","correct","rt"
1,"R",10.3606256865896,"L",TRUE,5.33299994468689
2,"R",11.498605486704,"L",TRUE,0.988000154495239
3,"L",8.13242848170921,"L",TRUE,1.18600010871887
4,"R",11.0487125206273,"L",TRUE,1.70099997520447
5,"R",12.7233725148253,"L",TRUE,0.998000144958496
6,"R",10.3683004179038,"L",TRUE,1.69700002670288
7,"L",12.1394554802682,"R",TRUE,1.50300002098083
8,"R",14.3844465333968,"L",TRUE,0.99399995803833
9,"L",8.8927579568699,"L",TRUE,1.58799982070923
10,"R",12.4163763665128,"L",TRUE,1.19199991226196
11,"L",8.18072665738873,"L",TRUE,1.39599990844727
12,"L",8.82375782518648,"L",TRUE,1.29399991035461
13,"R",10.3307155051734,"L",TRUE,1.59500002861023
14,"L",8.22135242260993,"L",TRUE,1.39399981498718
15,"R",14.4556729509495,"L",TRUE,0.990999937057495
16,"R",12.0066122857388,"L",TRUE,0.894000053405762
17,"R",10.6489733180497,"L",TRUE,0.791000127792358
18,"R",13.1436430970207,"L",TRUE,0.792999982833862
19,"L",13.113648975268,"R",TRUE,1.2960000038147
20,"R",13.1377168209292,"L",TRUE,0.990999937057495
