"trial","ref_position","var_area","response","correct","rt"
1,"L",12.1214395514689,"R",TRUE,1.78700017929077
2,"L",11.9537992989644,"R",TRUE,1.90399980545044
3,"R",13.6683430951089,"L",TRUE,1.5460000038147
4,"R",8.64615482301451,"R",TRUE,2.38700008392334
5,"L",13.5019694268703,"R",TRUE,1.42499995231628
6,"R",14.8321090119425,"L",TRUE,2.0220000743866
7,"L",12.758429634152,"R",TRUE,2.38199996948242
8,"R",8.87870644917712,"R",TRUE,1.53999996185303
9,"R",9.24264005641453,"R",FALSE,2.15400004386902
10,"R",8.95216568978503,"R",TRUE,1.90500020980835
11,"R",14.5806723600253,"L",TRUE,1.66199994087219
12,"L",11.6000908855349,"R",TRUE,1.30699992179871
13,"R",8.96954288939014,"R",TRUE,1.42300009727478
14,"L",14.0391158945858,"R",TRUE,1.18700003623962
15,"R",13.6431338561233,"L",TRUE,1.54500007629395
16,"L",8.24900214583613,"L",TRUE,1.5460000038147
17,"L",12.4740364851896,"R",TRUE,1.78400015830994
18,"L",13.0696912531275,"R",TRUE,1.54900002479553
19,"L",9.97912049177103,"R",TRUE,1.30999994277954
20,"L",12.2705041316804,"R",TRUE,1.42799997329712
21,"L",9.52941547753289,"R",TRUE,1.54500007629395
22,"L",9.47230883408338,"R",TRUE,2.02600002288818
23,"L",11.0330557858106,"R",TRUE,1.67000007629395
24,"R",9.86846660403535,"R",FALSE,1.90499997138977
25,"L",11.0370956396218,"R",TRUE,1.5460000038147
26,"R",9.63671897514723,"R",FALSE,1.9060001373291
27,"L",8.94097076612525,"R",FALSE,2.5019998550415
28,"L",13.3706281064078,"R",TRUE,1.06599998474121
29,"R",12.5585191522259,"L",TRUE,2.26600003242493
30,"L",9.48922398127615,"R",TRUE,1.54400014877319
