"trial","ref_position","var_area","response","correct","rt"
1,"L",11.1447124266997,"R",TRUE,1.9850001335144
2,"L",14.1973727166187,"R",TRUE,1.68499994277954
3,"R",11.4884755767416,"L",TRUE,1.57100009918213
4,"L",8.43329949537292,"L",TRUE,1.46700000762939
5,"L",9.24407014367171,"L",FALSE,1.47900009155273
6,"L",11.9684188084211,"R",TRUE,1.67599987983704
7,"R",13.4199899300002,"L",TRUE,1.56299996376038
8,"R",12.6258084822912,"L",TRUE,1.46499991416931
9,"R",14.0387279938441,"L",TRUE,1.47399997711182
10,"R",9.94001935934648,"L",TRUE,1.46300005912781
11,"R",9.78574365423992,"L",TRUE,1.37199997901917
12,"R",9.54599774978124,"L",TRUE,1.47499990463257
13,"R",9.46325737074949,"L",TRUE,1.4850001335144
14,"L",10.3711409938987,"L",FALSE,1.27700018882751
15,"R",13.6721699386835,"L",TRUE,1.47499990463257
16,"R",13.8690052703023,"L",TRUE,1.37299990653992
17,"R",12.9811789887026,"L",TRUE,1.46299982070923
18,"L",14.6574575256091,"R",TRUE,1.47200012207031
19,"L",11.801295575453,"R",TRUE,1.57299995422363
20,"R",12.0911743931938,"L",TRUE,1.47000002861023
21,"L",9.86445182329044,"R",TRUE,1.86899995803833
22,"R",8.08083417732269,"R",TRUE,3.08399987220764
23,"R",8.47184480237775,"R",TRUE,1.7720000743866
24,"R",8.64048248017207,"L",FALSE,1.57600021362305
25,"R",12.3906346915755,"L",TRUE,1.67499995231628
26,"R",10.8892796325963,"L",TRUE,1.57999992370605
27,"L",13.9815053516068,"R",TRUE,1.67700004577637
28,"R",14.2963196304627,"L",TRUE,1.47300004959106
29,"R",9.12793974834494,"R",FALSE,2.58700013160706
30,"R",14.533598294016,"L",TRUE,1.58800005912781
