"trial","ref_position","var_area","response","correct","rt"
1,"R",12.5920636700466,"R",FALSE,13.0899999141693
2,"L",11.3702075688634,"R",TRUE,5.78900003433228
3,"L",14.9213538959157,"R",TRUE,1.49500012397766
4,"L",12.354063862469,"R",TRUE,1.79299998283386
5,"L",12.1557069995906,"R",TRUE,1.29299998283386
6,"L",11.7260534644593,"R",TRUE,1.4909999370575
7,"L",11.453032667283,"R",TRUE,1.29099988937378
8,"L",11.5107941147871,"R",TRUE,1.19199991226196
9,"L",13.0464613309596,"R",TRUE,1.28699994087219
10,"L",8.56091742799617,"L",TRUE,1.78999996185303
11,"R",10.3161370735615,"R",FALSE,1.68799996376038
12,"R",14.9317640704103,"R",FALSE,1.08599996566772
13,"L",13.8425782958511,"R",TRUE,1.58899998664856
14,"L",14.3434675417375,"R",TRUE,1.28499984741211
15,"L",11.2788438543212,"R",TRUE,1.18699979782104
16,"L",8.75185084273107,"R",FALSE,2.28800010681152
17,"R",12.7244099879172,"L",TRUE,1.58699989318848
18,"R",11.7614745327737,"L",TRUE,1.79200005531311
19,"R",11.1927260742523,"L",TRUE,2.28599977493286
20,"L",9.97585590160452,"R",TRUE,1.78900003433228
